嚦	呖
嚮	向
嚲	亸
嚳	喾
嚶	嘤
囅	冁
囈	呓
囓	啮
囙	因
錮	锢
懟	怼
紇	纥
鑾	銮
囪	囱
圇	囵
圅	函
鯡	鲱
窯	窑
鱉	鳖
祇	祇	只
堝	埚
坵	丘
坿	附
垜	垛
埜	野
埡	垭
埳	坎
紼	绋
樁	桩
廡	庑
堃	坤	堃
堊	垩
堖	垴
堘	塍
堦	阶
塋	茔
塏	垲
塒	埘
塚	冢
繆	缪
塟	葬
塢	坞
塤	埙
塲	场
蟎	螨
塼	砖
塿	𪣻
墖	塔
墠	𫮃
墪	墩
櫥	橱
壄	野
壋	垱
壙	圹
壚	垆
壠	垅
壻	婿
夘	卯
袞	衮
戧	戗
魘	魇
嶼	屿
鶺	鹡
鴒	鸰
鯊	鲨
鵯	鹎
鮃	鲆
燴	烩
鴇	鸨
鶪	䴗
螻	蝼
蠍	蝎
詭	诡
譎	谲
訢	䜣
詝	詝	𬣞
奩	奁
媧	娲
奼	姹
騖	骛
嬪	嫔
嬈	娆
妬	妒
妳	你	奶	妳
妷	侄
姉	姊
姍	姗
姙	妊
懾	慑
駭	骇
娿	婀
婣	姻
谿	溪
媍	妇
媯	妫
媼	媪
媿	愧
嫗	妪
嫰	嫩
嫵	妩
嫺	娴
嫿	婳
嬀	妫
嬃	媭
嬋	婵
嬙	嫱
嬝	袅
嬤	嬷
嬭	奶
嬾	懒
孃	娘
孌	娈
軻	轲
臏	膑
孼	孽
宁	㝉
宂	冗
謐	谧
讞	谳
駿	骏
宼	寇
寃	冤
寑	寝
磣	碜
寕	宁
陝	陕
寳	宝
尅	克
絀	绌
繚	缭
疇	畴
釁	衅
覷	觑
髒	脏
鷦	鹪
鷿	䴙
鷈	䴘
尒	尔
鱸	鲈
尟	鲜
尠	鲜
尷	尴
釦	扣
鰭	鳍
屓	屃
屨	屦
屭	屃
鉀	钾
巔	巅
櫸	榉
岅	坂
鞏	巩
嵐	岚
峝	峒
峩	峨
峴	岘
禎	祯
崍	崃
嶇	岖
崐	昆
顥	颢
崘	仑
崬	岽
嵒	岩
嵗	岁
嶁	嵝
嶃	崭
嶔	嵚
嶗	崂
嶠	峤
嶢	峣
嶧	峄
嶨	峃
嶮	崄
嶴	岙
巗	岩
巘	𪩘	巘
鳾	䴓
覡	觋
巰	巯
巵	卮
帀	匝
鯽	鲫
帋	纸
帬	裙
幃	帏
幇	帮
幑	徽
幘	帻
幙	幕
幚	帮
幬	帱
庻	庶
庽	寓
廄	厩
廎	庼	廎
廐	厩
廕	荫
廞	𫷷
廵	巡
廹	迫
甌	瓯
鄴	邺
廼	乃
弒	弑
弳	弪
燾	焘
彄	𫸩
彆	别
彊	强
彠	彟
貽	贻
繪	绘
癉	瘅
彷	仿	彷
彿	佛
徃	往
畬	畲
鉉	铉
徧	遍
漸	渐
顫	颤
憚	惮
怱	匆
怳	恍
恠	怪
恡	吝
悞	悮
悤	匆
愴	怆
悳	德
悵	怅
惏	婪	惏
瘧	疟
惥	恿
惪	德
惲	恽
惷	蠢
愙	恪
愜	惬
愨	悫
愬	诉
愷	恺
愽	博
慂	恿
靄	霭
慍	愠
慙	惭
慤	悫
慪	怄
慫	怂
慴	慑
慼	戚
慽	戚
憇	憩
軾	轼
憒	愦
憖	慭
憮	怃
懃	勤
懌	怿
懍	懔
懨	恹
懺	忏
懽	欢
戔	戋
戞	戛
戩	戬
戯	戏
戹	厄
戼	卯
鍬	锹
銬	铐
賚	赉
鑔	镲
扞	捍
綏	绥
鬮	阄
繯	缳
縊	缢
擻	擞
抝	拗
躥	蹿
鉚	铆
拏	拿
拕	拖
攢	攒
謫	谪
蹻	跷
聵	聩
挱	挲
挵	弄
捄	救
捫	扪
掄	抡
擧	举
闡	阐
掽	碰
揑	捏
櫫	橥
揷	插
搆	构
搇	揿
櫓	橹
搤	扼
搥	捶
褳	裢
訕	讪
搯	掏
搾	榨
摀	捂	摀
摃	扛
摜	掼
摶	抟
摻	掺
撏	挦
撝	㧑
撡	操
撣	掸
撦	扯
撿	捡
擄	掳
瑯	琅
